,PatentNumber,PatentAsignee
1654,WO2011028531-A1,WILSON WOLF MFG CORP (WILS-Non-standard)
1655,WO2011028531-A1,BAYLOR COLLEGE MEDICINE (BAYU-C)
1656,WO2011028531-A1,WILSON WOLF MFG (WILS-Non-standard)
1657,WO2011028531-A1,BAYLOR COLLEGE MEDICINE (BAYU-C)
1658,WO2011028531-A1,WILSON WOLF MFG (WILS-Non-standard)
1659,WO2011028531-A1,BAYLOR COLLEGE MEDICINE (BAYU-C)
1660,WO2011028531-A1,WILSON WOLF MFG (WILS-Non-standard)
1661,WO2011028531-A1,LEEN A M (LEEN-Individual)
1662,WO2011028531-A1,GERDEMANN U (GERD-Individual)
1663,WO2011028531-A1,ROONEY C M (ROON-Individual)
1664,WO2011028531-A1,VERA J (VERA-Individual)
1665,WO2011028531-A1,WILSON J R (WILS-Individual)
1666,WO2011025859-A1,CYLENE PHARM INC (CYLE-Non-standard)
1667,WO2011025859-A1,CYLENE PHARM INC (CYLE-Non-standard)
1668,WO2011025859-A1,CYLENE PHARM INC (CYLE-Non-standard)
1669,WO2011025859-A1,CYLENE PHARM INC (CYLE-Non-standard)
1670,WO2011025859-A1,CYLENE PHARM INC (CYLE-Non-standard)
1671,EP2283859-A2,BUONAVOGLIA C (BUON-Individual)
1672,EP2283859-A2,BUONAVOGLIA C (BUON-Individual)
1673,WO2011017160-A1,PESTKA BIOMEDICAL LAB INC (PEST-Non-standard)
1674,CN101962648-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1675,WO2011008230-A2,ZIRUS INC (ZIRU-Non-standard)
1676,WO2011008956-A2,ZIRUS INC (ZIRU-Non-standard)
1677,WO2011008956-A2,ZIRUS INC (ZIRU-Non-standard)
1678,KR2011006083-A,UNIV KONKUK IND COOP CORP (UKUK-C)
1679,CN101948851-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1680,CN101948516-A,ACAD MILITARY MEDICAL SCI CPLA INST MICR (JSYX-C)
1681,WO2011004146-A1,INST ANIMAL HEALTH (ANIM-Non-standard)
1682,WO2011004146-A1,INST ANIMAL HEALTH (ANIM-Non-standard)
1683,WO2011004146-A1,INST ANIMAL HEALTH (ANIM-Non-standard)
1684,WO2011004146-A1,INST ANIMAL HEALTH (ANIM-Non-standard)
1685,WO2011004146-A1,PIRBRIGHT INST (PIRB-Non-standard)
1686,WO2011004146-A1,PEEL BRIGHT INST (PEEL-Non-standard)
1687,WO2011004146-A1,PIRBRIGHT INST (PIRB-Non-standard)
1688,US2011008377-A1,COLLISSON E W (COLL-Individual)
1689,US2011008377-A1,CHOI I (CHOI-Individual)
1690,US2011008377-A1,WINSLOW B J (WINS-Individual)
1691,US2011008377-A1,COCHRAN M D (COCH-Individual)
1692,US2011008377-A1,UNIV TEXAS A & M SYSTEM (TEXA-C)
1693,US2011008377-A1,INTERVET INC (MERI-C)
1694,WO2011005786-A2,ALNYLAM PHARM INC (ALNY-Non-standard)
1695,WO2011005786-A2,ARBUTUS BIOPHARMA CORP (ARBU-Non-standard)
1696,WO2011005793-A1,ALNYLAM PHARM INC (ALNY-Non-standard)
1697,WO2010150014-A1,PULMAGEN THERAPEUTICS INFLAMMATION LTD (PULM-Non-standard)
1698,RU2407543-C1,GUNENKOV V V (GUNE-Individual)
1699,WO2010146401-A1,IMMUNOBIOLOGY LTD (IMMU-Non-standard)
1700,WO2010146401-A1,IMMUNOBIOLOGY LTD (IMMU-Non-standard)
1701,WO2010146401-A1,IMMUNOBIOLOGY LTD (IMMU-Non-standard)
1702,WO2010146401-A1,IMMUNOBIOLOGY LTD (IMMU-Non-standard)
1703,WO2010146401-A1,IMMUNOBIOLOGY LTD (IMMU-Non-standard)
1704,WO2010146401-A1,COLACO C (COLA-Individual)
1705,WO2010146401-A1,BIGNELL C R (BIGN-Individual)
1706,WO2010145017-A1,UNIV LAVAL (ULVL-C)
1707,WO2010145017-A1,YVON C (YVON-Individual)
1708,WO2010145017-A1,GIRARD M (GIRA-Individual)
1709,WO2010145017-A1,ISRAEL-ASSAYAG E (ISRA-Individual)
1710,WO2010148351-A1,CYLENE PHARM INC (CYLE-Non-standard)
1711,WO2010148351-A1,HADDACH M (HADD-Individual)
1712,WO2010148351-A1,RYCKMAN D M (RYCK-Individual)
1713,CN101921823-A,UNIV NANKAI (UNAN-C)
1714,CN101921823-A,CHINESE ACAD SCI BIOPHYSICS INST (CABP-C)
1715,CN101921823-A,UNIV TSINGHUA (UYQI-C)
1716,WO2010144799-A2,VACCINE TECHNOLOGIES INC (VACC-Non-standard)
1717,WO2010144799-A2,VACCINE TECHNOLOGIES INC (VACC-Non-standard)
1718,WO2010144799-A2,VACCINE TECHNOLOGIES INC (VACC-Non-standard)
1719,WO2010144799-A2,VACCINE TECHNOLOGIES INC (VACC-Non-standard)
1720,WO2010142030-A1,UNIV WESTERN ONTARIO (UYWO-Non-standard)
1721,WO2010142030-A1,UNIV WESTERN ONTARIO (UYWO-Non-standard)
1722,WO2010142030-A1,UNIV WESTERN ONTARIO (UYWO-Non-standard)
1723,WO2010142030-A1,KANG C (KANG-Individual)
1724,WO2010142030-A1,KIM G N (KIMG-Individual)
1725,WO2010142030-A1,KANG C (KANG-Individual)
1726,WO2010142030-A1,KIM G N (KIMG-Individual)
1727,WO2010142030-A1,UNIV WESTERN ONTARIO (UYWO-Non-standard)
1728,WO2010144794-A1,VACCINE TECHNOLOGIES INC (VACC-Non-standard)
1729,WO2010142985-A1,ASTRAZENECA AB (ASTR-C)
1730,WO2010142985-A1,ASTRAZENECA UK LTD (ASTR-C)
1731,WO2010144043-A1,ASTRAZENECA AB (ASTR-C)
1732,WO2010144908-A2,ZIRUS INC (ZIRU-Non-standard)
1733,WO2010144908-A2,RUBIN D (RUBI-Individual)
1734,WO2010144908-A2,GILMORE R (GILM-Individual)
1735,WO2010144908-A2,HODGE T (HODG-Individual)
1736,WO2010144908-A2,MCDONALD N (MCDO-Individual)
1737,CN101914554-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1738,CN101914553-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1739,JP2010282791-A,ECO BUSINESS TRADING KK (ECOB-Non-standard)
1740,JP2010282791-A,TEI S (TEIS-Individual)
1741,JP2010282791-A,ISHIWATARI T (ISHI-Individual)
1742,JP2010282791-A,JUNG J W (JUNG-Individual)
1743,JP2010282791-A,CJECO CO LTD (CJEC-Non-standard)
1744,JP2010282791-A,JIN U J (JINU-Individual)
1745,JP2010282791-A,ECO-BUSINESS TRADING CO LTD (EKOB-Non-standard)
1746,JP2010282791-A,ECO BUSINESS TRADING CO LTD (ECOB-Non-standard)
1747,WO2010138758-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1748,WO2010138758-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1749,WO2010138758-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1750,WO2010138758-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1751,WO2010138758-A1,PTC THERAPEUTICS INC (PTCT-C)
1752,US2010304363-A1,ELECTRONICS&TELECOM RES INST (ETRI-C)
1753,US2010304363-A1,ELECTRONICS&TELECOM RES INST (ETRI-C)
1754,US2010304363-A1,ELECTRONICS&TELECOM RES INST (ETRI-C)
1755,WO2010138419-A2,OBIO PHARM HK LTD (OBIO-Non-standard)
1756,WO2010138419-A2,THOENE J G (THOE-Individual)
1757,WO2010133882-A1,ASTRAZENECA AB (ASTR-C)
1758,WO2010133882-A1,ASTRAZENECA UK LTD (ASTR-C)
1759,WO2010133882-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1760,WO2010133882-A1,ASTRAZENECA AB (ASTR-C)
1761,WO2010133882-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1762,WO2010133882-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1763,WO2010133882-A1,ASTRAZENECA SWEDEN CO LTD (ASTR-C)
1764,WO2010133882-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1765,WO2010133882-A1,SUMITOMO DAINIPPON PHARMA CO LTD (SUMU-C)
1766,WO2010133882-A1,SUMITOMO DAINIPPON PHARMA CO LTD (SUMU-C)
1767,WO2010133885-A1,ASTRAZENECA AB (ASTR-C)
1768,WO2010133885-A1,ASTRAZENECA UK LTD (ASTR-C)
1769,WO2010133885-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1770,WO2010133885-A1,ASTRAZENECA AB (ASTR-C)
1771,WO2010133885-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1772,WO2010133885-A1,BENNET N J (BENN-Individual)
1773,WO2010133885-A1,THOM S (THOM-Individual)
1774,WO2010133885-A1,MCINALLY T (MCIN-Individual)
1775,WO2010133885-A1,DAINIPPON SUMITOMO PHARMA CO LTD (SUMU-C)
1776,WO2010133885-A1,SUMITOMO DAINIPPON PHARMA CO LTD (SUMU-C)
1777,WO2010134851-A1,INGAFARM CO LTD (INGA-Non-standard)
1778,WO2010134851-A1,NEBOLSIN V E (NEBO-Individual)
1779,WO2010134851-A1,VALENTA INTELLECT LLC (VALE-Non-standard)
1780,WO2010134851-A1,NEBOLSIN V E (NEBO-Individual)
1781,WO2010134851-A1,VALENTA INTELLECT LLC (VALE-Soviet Institute)
1782,WO2010134851-A1,NEBOLSIN V E (NEBO-Individual)
1783,WO2010134851-A1,ZHELTUKHINA G A (ZHEL-Individual)
1784,WO2010134851-A1,BORISEVICH S V (BORI-Individual)
1785,WO2010134851-A1,LOGINOVA S Y (LOGI-Individual)
1786,WO2010134851-A1,CHUCHALIN A G (CHUC-Individual)
1787,WO2010134851-A1,NEBOLSIN V E (NEBO-Individual)
1788,WO2010134851-A1,VALENTA-INTELLECT LLC (VALE-Soviet Institute)
1789,WO2010134851-A1,VALENTA-INTELLEKT LLC (VALE-Soviet Institute)
1790,WO2010134851-A1,VALENTA-INTELLEKT LTD (VALE-Soviet Institute)
1791,WO2010134851-A1,BORISEVICH S V (BORI-Individual)
1792,WO2010134851-A1,CHUCHALIN A G (CHUC-Individual)
1793,WO2010134851-A1,LOGINOVA S Y (LOGI-Individual)
1794,WO2010134851-A1,ZHELTUKHINA G A (ZHEL-Individual)
1795,WO2010134851-A1,MRS LTD (MRSM-Non-standard)
1796,WO2010134851-A1,VALENTA-INTELLEKT LTD (VALE-Soviet Institute)
1797,WO2010134851-A1,VALENTA-INTELLEKT LLC (VALE-Soviet Institute)
1798,WO2010134939-A2,ZIRUS INC (ZIRU-Non-standard)
1799,WO2010134939-A2,UNIV VANDERBILT (UVAN-C)
1800,US2010291082-A1,BAYLOR RES INST (BAYU-C)
1801,US2010291082-A1,BAYLOR RES INST (BAYU-C)
1802,WO2010130756-A1,TRANSGENE SA (TRGE-C)
1803,WO2010130756-A1,TRANSGENE SA (TRGE-C)
1804,WO2010130756-A1,TRANSGENE SA (TRGE-C)
1805,WO2010132404-A1,ROMARK LAB LC (ROMA-Non-standard)
1806,WO2010132404-A1,ROMARK LAB LC (ROMA-Non-standard)
1807,WO2010132404-A1,ROMARK LAB LC (ROMA-Non-standard)
1808,WO2010132404-A1,ROMARK LAB LC (ROMA-Non-standard)
1809,WO2010132404-A1,ROMARK LAB LC (ROMA-Non-standard)
1810,KR2010120473-A,SNU R&DB FOUND (USEO-C)
1811,US2010285057-A1,PFIZER INC (PFIZ-C)
1812,US2010285057-A1,ZOETIS SERVICES LLC (ZOET-C)
1813,RU2403063-C1,HUMAN&ANIMAL DISEASES DIAGNOSTICS INST (HUMA-Soviet Institute)
1814,US2010279352-A1,AHMED R (AHME-Individual)
1815,US2010279352-A1,MILLER J (MILL-Individual)
1816,US2010279352-A1,WILSON P (WILS-Individual)
1817,US2010279352-A1,WRAMMERT J (WRAM-Individual)
1818,US2010279352-A1,OKLAHOMA MEDICAL RES FOUND (OKLH-C)
1819,US2010279352-A1,UNIV EMORY (UEMR-C)
1820,WO2010127228-A1,QIAGEN GAITHERSBURG INC (QIAG-C)
1821,WO2010127228-A1,QIAGEN GAITHERSBURG INC (QIAG-C)
1822,WO2010127228-A1,QIAGEN GAITHERSBURG INC (QIAG-C)
1823,WO2010127228-A1,QIAGEN GAITHERSBURG INC (QIAG-C)
1824,WO2010127228-A1,LOWE B (LOWE-Individual)
1825,WO2010127228-A1,FULBRIGHT A K (FULB-Individual)
1826,WO2010127228-A1,NAZARENKO I (NAZA-Individual)
1827,US2010280067-A1,SARMA P K S (SARM-Individual)
1828,US2010280067-A1,ACHARYA V P (ACHA-Individual)
1829,US2010280067-A1,KASIBHATLA S R (KASI-Individual)
1830,US2010280067-A1,VISWANADHAN V N (VISW-Individual)
1831,US2010280067-A1,SHEKHAR P (SHEK-Individual)
1832,US2010280067-A1,BISCHOFF A (BISC-Individual)
1833,US2010280067-A1,FOREST LAB HOLDINGS LTD (FORE-C)
1834,WO2010127208-A1,FOREST LAB HOLDINGS LTD (FORE-C)
1835,WO2010124163-A2,THERACLONE SCI INC (THER-Non-standard)
1836,WO2010124163-A2,THERACLONE SCI INC (THER-Non-standard)
1837,WO2010124163-A2,SPALTUDAQ CORP (SPAL-Non-standard)
1838,US2010273740-A1,FLEMING R A (FLEM-Individual)
1839,US2010273740-A1,HES J V (HESJ-Individual)
1840,US2010273740-A1,HUANG Y (HUAN-Individual)
1841,US2010273740-A1,READ R H (READ-Individual)
1842,US2010273740-A1,MORRIS-NATSCHKE S L (MORR-Individual)
1843,US2010273740-A1,ISHAQ K S (ISHA-Individual)
1844,US2010273740-A1,KUCERA L S (KUCE-Individual)
1845,US2010273740-A1,FURMAN P A (FURM-Individual)
1846,WO2010123527-A2,UNIV CALIFORNIA (REGC-C)
1847,WO2010123527-A2,KOFF J L (KOFF-Individual)
1848,WO2010123527-A2,NADEL J A (NADE-Individual)
1849,WO2010123527-A2,UNIV CALIFORNIA (REGC-C)
1850,WO2010123527-A2,UNIV CALIFORNIA (REGC-C)
1851,WO2010120524-A2,ISIS PHARM INC (ISSP-C)
1852,WO2010120524-A2,ALTAIR THERAPEUTICS INC (ALTA-Non-standard)
1853,WO2010120524-A2,ALTAIR THERAPEUTICS INC (ALTA-Non-standard)
1854,WO2010120524-A2,ISIS PHARM INC (ISSP-C)
1855,WO2010120524-A2,ISIS PHARM INC (ISSP-C)
1856,WO2010121225-A2,CYLENE PHARM INC (CYLE-Non-standard)
1857,WO2010121225-A2,HADDACH M (HADD-Individual)
1858,WO2010121225-A2,OBRIEN S (OBRI-Individual)
1859,WO2010121225-A2,ANDERES K (ANDE-Individual)
1860,WO2010121225-A2,CYLENE PHARM INC (CYLE-Non-standard)
1861,WO2010121225-A2,CYLENE PHARM INC (CYLE-Non-standard)
1862,WO2010121180-A1,GLOBE IMMUNE INC (GLOB-Non-standard)
1863,WO2010121180-A1,US DEPT HEALTH&HUMAN SERVICES (USSH-C)
1864,WO2010121180-A1,GLOBE IMMUNE INC (GLOB-Non-standard)
1865,WO2010121180-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
1866,WO2010121180-A1,GLOBE IMMUNE INC (GLOB-Non-standard)
1867,WO2010121180-A1,US DEPT HEALTH&HUMAN SERVICES (USSH-C)
1868,WO2010121180-A1,US DEPT HEALTH&HUMAN SERVICES (USSH-C)
1869,WO2010121180-A1,GLOBE IMMUNE INC (GLOB-Non-standard)
1870,WO2010121180-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
1871,WO2010121180-A1,GLOBE IMMUNE INC (GLBO-C)
1872,WO2010121180-A1,HODGE J (HODG-Individual)
1873,WO2010121180-A1,SCHLOM J (SCHL-Individual)
1874,WO2010121180-A1,FRANZUSOFF A (FRAN-Individual)
1875,WO2010121180-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
1876,WO2010120195-A1,ANCARE SCI LTD (ANCA-Non-standard)
1877,WO2010120195-A1,RAZZAK M (RAZZ-Individual)
1878,WO2010120195-A1,HOLMES R (HOLM-Individual)
1879,WO2010120195-A1,MERIAL LTD (SNFI-C)
1880,WO2010120195-A1,MERIAL LTD (SNFI-C)
1881,WO2010120195-A1,MERIAL LTD (SNFI-C)
1882,WO2010120195-A1,MERIAL LTD (SNFI-C)
1883,EP2241312-A1,ISDIN SA (ISDI-Non-standard)
1884,US2010256169-A1,ANADYS PHARM INC (ANAD-C)
1885,WO2010113595-A1,TAIYO KK (TAIY-Non-standard)
1886,WO2010113595-A1,TAIYO PERFUMERY CO LTD (TPER-C)
1887,WO2010111650-A2,PULMATRIX INC (PULM-Non-standard)
1888,WO2010111650-A2,PULMATRIX INC (PULM-Non-standard)
1889,WO2010111650-A2,PULMATRIX INC (PULM-Non-standard)
1890,WO2010111650-A2,CLARKE R W (CLAR-Individual)
1891,WO2010111650-A2,BATYCKY R (BATY-Individual)
1892,WO2010111650-A2,HAVA D L (HAVA-Individual)
1893,WO2010111650-A2,LIPP M M (LIPP-Individual)
1894,WO2010111711-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1895,WO2010111711-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1896,WO2010111711-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1897,WO2010111485-A1,UNIV TEXAS SYSTEM (TEXA-C)
1898,WO2010111485-A1,UNIV TEXAS SYSTEM (TEXA-C)
1899,WO2010111485-A1,UNIV TEXAS SYSTEM (TEXA-C)
1900,WO2010111485-A1,DICKEY B (DICK-Individual)
1901,WO2010111485-A1,TUVIM M (TUVI-Individual)
1902,WO2010111485-A1,EVANS S (EVAN-Individual)
1903,WO2010111485-A1,UNIV TEXAS (TEXA-C)
1904,WO2010111485-A1,UNIV TEXAS SYSTEM (TEXA-C)
1905,WO2010111485-A1,UNIV TEXAS (TEXA-C)
1906,WO2010110914-A2,ZIRUS INC (ZIRU-Non-standard)
1907,WO2010111687-A2,ACAD SINICA (SNIC-C)
1908,WO2010111687-A2,ACAD SINICA (SNIC-C)
1909,WO2010111687-A2,ACAD SINICA (SNIC-C)
1910,WO2010111687-A2,ACAD SINICA (SNIC-C)
1911,WO2010111687-A2,CELA VISTA PHARM LTD (CELA-Non-standard)
1912,WO2010111687-A2,ACAD SINICA (SNIC-C)
1913,WO2010111687-A2,NATAC PHARMA SL (NATA-Non-standard)
1914,WO2010111687-A2,ACAD SINICA (SNIC-C)
1915,WO2010106495-A1,HALL&SONS LTD H L (HALL-Non-standard)
1916,WO2010106495-A1,HALL & SONS LTD H L (HALL-Non-standard)
1917,WO2010106495-A1,HALL&SONS LTD H L (HALL-Non-standard)
1918,WO2010106495-A1,HALL&SONS LTD H L (HALL-Non-standard)
1919,WO2010106495-A1,HALL&SONS LTD H L (HALL-Non-standard)
1920,WO2010106495-A1,HALL & SONS LTD H L (HALL-Non-standard)
1921,WO2010106495-A1,HALL & SONS LTD H L (HALL-Non-standard)
1922,WO2010106495-A1,HG & H PHARM PTY LTD (HGHP-Non-standard)
1923,WO2010106495-A1,HG & H PHARM PTY LTD (HGHP-Non-standard)
1924,WO2010106494-A1,HALL&SONS LTD H L (HALL-Non-standard)
1925,WO2010106494-A1,HALL & SONS LTD H L (HALL-Non-standard)
1926,WO2010106494-A1,HALL&SONS LTD H L (HALL-Non-standard)
1927,WO2010106494-A1,HALL&SONS LTD H L (HALL-Non-standard)
1928,WO2010106494-A1,HALL&SONS LTD H L (HALL-Non-standard)
1929,WO2010106494-A1,HALL & SONS LTD H L (HALL-Non-standard)
1930,WO2010106494-A1,HG & H PHARM PTY LTD (HGHP-Non-standard)
1931,CN101837073-A,TIANJIN SHENGJI GROUP CO LTD (TIAN-Non-standard)
1932,WO2010105020-A2,BOYCE THOMPSON INST PLANT RES INC (BOYC-Non-standard)
1933,WO2010105020-A2,UNIV IOWA RES FOUND (IOWA-C)
1934,WO2010104748-A2,BAYLOR RES INST (BAYU-C)
1935,WO2010104748-A2,BAYLOR RES INST (BAYU-C)
1936,WO2010104748-A2,BAYLOR RES INST (BAYU-C)
1937,WO2010104748-A2,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
1938,WO2010104748-A2,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
1939,KR2010094968-A,SAMSUNG ELECTRONICS CO LTD (SMSU-C)
1940,US2010216773-A1,NAT HEALTH RES INST (NAHE-C)
1941,WO2010093163-A2,CG BIO CO LTD (CGBI-Non-standard)
1942,WO2010093163-A2,CG BIO CO LTD (CGBI-Non-standard)
1943,CN101805395-A,UNIV CHINA AGRICULTURAL (UCAG-C)
1944,US7776521-B1,US DEPT HEALTH&HUMAN SERVICES (USSH-C)
1945,US2010203582-A1,ACAD SINICA (SNIC-C)
1946,US2010203582-A1,ACAD SINICA (SNIC-C)
1947,WO2010089940-A1,UNIV OSAKA (OSAU-C)
1948,WO2010083581-A1,QUINTAO COIMBRA W M (COIM-Individual)
1949,WO2010083581-A1,FREITAS QUINTAO B (QUIN-Individual)
1950,WO2010083581-A1,PACHECO DA VEIGA G (DVEI-Individual)
1951,WO2010083842-A2,NSGENE AS (NSGE-Non-standard)
1952,WO2010083842-A2,NSGENE AS (NSGE-Non-standard)
1953,CN101787116-A,LIANG D (LIAN-Individual)
1954,RU2395298-C1,HUMAN&ANIMAL DISEASES DIAGNOSTICS INST (HUMA-Soviet Institute)
1955,RU2395299-C1,HUMAN&ANIMAL DISEASES DIAGNOSTICS INST (HUMA-Soviet Institute)
1956,EP2208725-A1,HYBRIGENICS SA (HYBR-Non-standard)
1957,EP2208725-A1,HYBRIGENICS SA (HYBR-Non-standard)
1958,DE102009017716-A1,IPK GATERSLEBEN LEIBNIZ-INST PFLANZENGEN (IPKG-Non-standard)
1959,WO2010079149-A1,IPK GATERSLEBEN (IPKG-Non-standard)
1960,WO2010080572-A1,CUNNINGHAM E M (CUNN-Individual)
1961,WO2010080572-A1,NEVOA SOLUTIONS (NEVO-Non-standard)
1962,DE102009003992-A1,D2O BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1963,DE102009003992-A1,D20 BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1964,DE102009003992-A1,D2 BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1965,DE102009003992-A1,D2O BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1966,DE102009003992-A1,D2O BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1967,DE102009003992-A1,D2 BIOSCIENCE GROUP LTD (DTWO-Non-standard)
1968,WO2010078515-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1969,WO2010078515-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1970,WO2010077678-A2,UNIV WASHINGTON (UNIW-C)
1971,WO2010077678-A2,PHASERX INC (PHAS-Non-standard)
1972,WO2010077678-A2,UNIV WASHINGTON (UNIW-C)
1973,WO2010077678-A2,PHASERX INC (PHAS-Non-standard)
1974,WO2010077678-A2,PHASERX INC (PHAS-Non-standard)
1975,WO2010077678-A2,UNIV WASHINGTON (UNIW-C)
1976,WO2010077678-A2,STAYTON P S (STAY-Individual)
1977,WO2010077678-A2,HOFFMAN A S (HOFF-Individual)
1978,WO2010077678-A2,CONVERTINE A J (CONV-Individual)
1979,WO2010077678-A2,HENRY S M (HENR-Individual)
1980,WO2010077678-A2,OVERELL R W (OVER-Individual)
1981,WO2010077678-A2,JOHNSON P H (JOHN-Individual)
1982,WO2010077678-A2,UNIV WASHINGTON (UNIW-C)
1983,WO2010077678-A2,PHASERX INC (PHAS-Non-standard)
1984,CN101759805-A,POISON MEDICINE INST PLA MILITARY MEDICA (POIS-Non-standard)
1985,WO2010071583-A1,ASTRAZENECA AB (ASTR-C)
1986,WO2010071583-A1,ASTRAZENECA AB (ASTR-C)
1987,WO2010071583-A1,COOPER A E (COOP-Individual)
1988,WO2010071583-A1,LUKER T J (LUKE-Individual)
1989,WO2010071583-A1,SCHMIDT J A (SCHM-Individual)
1990,WO2010071583-A1,ASTRAZENECA AB (ASTR-C)
1991,WO2010071583-A1,COOPER A E (COOP-Individual)
1992,WO2010071583-A1,LUKER T J (LUKE-Individual)
1993,WO2010071583-A1,SCHMIDT J A (SCHM-Individual)
1994,KR2010066142-A,KOREA RES INST CHEM TECHNOLOGY (KRIC-C)
1995,WO2010063685-A1,GLAXOSMITHKLINE BIOLOGICALS SA (GLAX-C)
1996,WO2010063685-A1,INST PASTEUR (INSP-C)
1997,WO2010063685-A1,GLAXOSMITHKLINE BIOLOGICALS SA (GLAX-C)
1998,WO2010063685-A1,INST PASTEUR (INSP-C)
1999,WO2010063685-A1,INST PASTEUR (INSP-C)
2000,WO2010063685-A1,GLAXOSMITHKLINE BIOLOGICALS SA (GLAX-C)
2001,US2010143890-A1,ELECTRONICS & TELECOM RES INST (ETRI-C)
2002,US2010143890-A1,ELECTRONICS & TELECOM RES INST (ETRI-C)
2003,US2010143890-A1,ELECTRONICS&TELECOM RES INST (ETRI-C)
2004,US2010143890-A1,ELECTRONICS&TELECOM RES INST (ETRI-C)
2005,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY TRADE AG (AVIR-Non-standard)
2006,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY TRADE AG (AVIR-Non-standard)
2007,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
2008,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
2009,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
2010,WO2010063804-A1,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
2011,WO2010063804-A1,BAXTER HEALTHCARE SA (BAXT-C)
2012,WO2010063804-A1,BAXTER HEALTHCARE SA (BAXT-C)
2013,WO2010065911-A1,INVIRAGEN INC (TAKE-C)
2014,WO2010065911-A1,STINCHCOMB D T (STIN-Individual)
2015,WO2010065911-A1,LIVENGOOD J A (LIVE-Individual)
2016,WO2010065911-A1,WIGGAN O (WIGG-Individual)
2017,WO2010065911-A1,KINNEY R (KINN-Individual)
2018,WO2010065911-A1,OSORIO J (OSOR-Individual)
2019,WO2010065911-A1,INVIRAGEN INC (TAKE-C)
2020,WO2010065911-A1,TAKEDA VACCINES INC (TAKE-C)
2021,WO2010065911-A1,TAKEDA VACCINES INC (TAKE-C)
2022,WO2010065911-A1,TAKEDA VACCINE CO (TAKE-Non-standard)
2023,WO2010065911-A1,TAKEDA VACCINES INC (TAKE-C)
2024,JP2010126471-A,UNIV OCHANOMIZU WOMENS (UYOC-Non-standard)
2025,JP2010126471-A,UNIV OCHANOMIZU (UYOC-Non-standard)
2026,EP2193802-A2,NEW YORK BLOOD CENT INC (NYBL-C)
2027,US2010143881-A1,US DEPT OF HEALTH (USSH-C)
2028,US2010143881-A1,US DEPARTMENT HEALTH & HUMAN SERVICES (USDE-Non-standard)
2029,US2010143881-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
2030,US2010143881-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
2031,US2010143881-A1,US DEPT OF HEALTH & HUMAN SERVICES (USSH-C)
2032,KR2010058823-A,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
2033,KR2010058823-A,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
2034,WO2010061000-A1,CEVA SANTE ANIMALE (CEVA-C)
2035,KR2010058222-A,DAEHANMINGUK GWANRIBUSEO NONGRIMSUSANSIKPUMBU GUKRIPSUUIGWAH (DAEH-Non-standard)
2036,KR2010058222-A,REPUBLIC KOREA MANAGEMENT MIN AGRIC&FI (KOMA-Non-standard)
2037,KR2010058222-A,INTRON BIOTECHNOLOGY CO LTD (INTR-Non-standard)
